,NAME,ensembl,htseqout_filter_B24,htseqout_filter_C24,htseqout_filter_D24,htseqout_filter_E24,htseqout_filter_F24,htseqout_filter_G24
6295,pygo,FBgn0043900,4.218231992,4.21075962,4.260310785,2.867063676,4.852011458,4.610708794
6296,dome,FBgn0043903,7.512833534,6.784678274,6.765285588,6.52493138,7.281804614,7.254554345
6297,Roc2,FBgn0044020,5.062227381,5.104640405,5.822997748,5.541344399,5.265005656,5.677174851
6298,Notum,FBgn0044028,-4.002720471,-2.767033656,-4.002720471,1.781557497,0.312736216,2.115210045
6299,mRpS14,FBgn0044030,5.233738597,5.655650275,5.857073196,5.885291263,5.662597308,5.898548781
6300,Ilp6,FBgn0044047,0.968461284,1.875282126,1.064818384,1.382650225,0.596173822,0.737330092
6301,Ilp3,FBgn0044050,4.897260794,5.253780095,5.296451951,3.97588326,5.313499959,4.645615934
6302,Ilp1,FBgn0044051,4.994285776,5.155705791,5.829069844,4.776913017,4.959064862,4.882205289
6303,Cka,FBgn0044323,8.284860515,8.001907607,7.920840323,8.075682478,8.07937007,7.877197907
6304,Chro,FBgn0044324,7.043494334,6.817483005,6.330688458,6.834608319,7.71293476,6.836970065
6305,CG32052,FBgn0044328,6.452802712,6.616329138,6.712614231,5.683493449,5.337750545,5.324494794
6306,Atg2,FBgn0044452,3.755067892,4.372560616,4.075164695,4.549891016,3.430366605,4.607493134
6307,mRpS5,FBgn0044510,4.57695199,4.52157518,4.463935784,4.336908532,3.932003286,4.514415235
6308,mRpS21,FBgn0044511,3.833121599,4.186408419,4.544869835,4.82951494,4.190863124,4.568335543
6309,Spec2,FBgn0044823,3.105161737,3.733837333,4.26330351,3.715464249,3.596351638,3.811713453
6310,Pak3,FBgn0044826,7.282170495,7.214733184,7.118788573,7.265781895,6.610874183,6.990506799
6311,Gos28,FBgn0044871,5.208857858,5.278077105,5.227637123,5.101284061,5.197701811,5.17936188
6312,FucTC,FBgn0044872,1.474481571,0.786332723,2.18877162,0.37266259,0.496295361,0.363238616
6313,tefu,FBgn0045035,2.458196439,4.344823784,3.357523597,3.290909966,2.787541103,3.745968309
6314,Proc,FBgn0045038,4.414769374,4.376479845,4.260310785,2.8723516,3.185129498,3.312578217
6315,fdl,FBgn0045063,5.437858749,4.716604274,4.85961411,5.524649528,5.458780378,5.739460416
6316,bwa,FBgn0045064,4.299039355,5.430057768,4.857635287,5.260998483,4.481651628,3.811713453
6317,Stim,FBgn0045073,6.382229273,5.868193349,5.950085555,6.103911557,5.896075734,5.883340059
6318,Gr85a,FBgn0045473,-1.852879522,0.143841603,-0.889189446,1.105699939,-1.918044563,1.597892374
6319,CHKov1,FBgn0045761,1.188045117,1.158225816,1.245172328,1.192815657,-0.040348131,1.462064766
6320,Uhg1,FBgn0045800,2.642907775,1.608285007,2.442187755,2.514792466,1.428346616,2.502140252
6321,vsg,FBgn0045823,6.922035283,6.628294199,6.165354034,6.987412788,7.25626869,6.876913088
6322,yuri,FBgn0045842,-0.656836423,0.611136929,0.618033949,-4.002720471,1.428346616,-2.333703317
6323,btz,FBgn0045862,6.925433113,5.963118965,5.526842764,6.304519246,6.599887307,6.211332026
6324,bai,FBgn0045866,7.046618112,7.266602241,7.370934097,7.349926784,7.394759299,7.525733298
6325,niki,FBgn0045980,1.142055473,-4.002720471,-0.999645766,2.567904977,3.056606867,-0.187158067
6326,Gclm,FBgn0046114,6.014571425,6.170897188,5.851118068,5.950492202,5.776090389,5.428378641
6327,vig2,FBgn0046214,7.296018114,7.028648925,7.199124866,7.253929233,7.414560487,7.475466839
6328,CG1109,FBgn0046222,4.431594128,4.129486767,4.064910169,3.496661152,4.144874834,3.308623389
6329,CG17230,FBgn0046225,7.800144155,7.705644747,7.448907992,7.73991098,7.741390976,8.233941086
6330,CG5938,FBgn0046247,6.781456001,6.743922672,6.559733069,6.312808298,6.335433579,6.712290566
6331,CG12880,FBgn0046258,6.451035602,6.648693403,6.870595191,6.814832587,6.577150129,6.489355037
6332,CG11534,FBgn0046296,4.533080716,4.122502751,4.012514861,4.819968117,5.95839966,5.333281066
6333,CG7148,FBgn0046301,4.809878554,5.183934739,4.929102222,5.462019316,4.77950337,5.011910945
6334,CG10650,FBgn0046302,6.697000144,6.779877551,6.739190268,6.656802482,6.778816041,6.64213124
6335,Wsck,FBgn0046685,2.609499991,2.336080509,2.150490637,2.908834124,1.255823954,3.239677564
6336,Tre1,FBgn0046687,1.984899633,2.75269873,1.29281582,1.192815657,2.438690735,2.203049175
6337,Stlk,FBgn0046692,3.236799485,3.53428596,3.798143936,4.026566207,2.730070158,3.639793878
6338,Liprin-alpha,FBgn0046704,4.644483964,4.147947191,3.866651736,4.217333993,5.103253638,3.483690362
6339,Haspin,FBgn0046706,4.382993105,3.848323835,4.122078374,3.735914737,2.575500349,3.92712756
6340,CG17278,FBgn0046763,6.248229422,6.26269381,6.267257231,5.089980526,4.814485834,4.964941396
6341,CR14033,FBgn0046776,0.270412883,1.408411468,-4.002720471,-4.002720471,0.146968899,1.51793949
6342,Gr98b,FBgn0046887,-1.52149435,0.584277391,-4.002720471,1.050788252,1.901586906,-4.002720471
6343,CG6429,FBgn0046999,0.088388078,1.083471736,-1.935916106,-0.039109522,-0.998417637,1.090488029
